Symbol,GICS Sector,Headquarters Location,Founded
VNO,Real Estate,"New York City, New York",1982
VMC,Materials,"Birmingham, Alabama",1909
WAB,Industrials,"Pittsburgh, Pennsylvania",1999 (1869)
WBA,Consumer Staples,"Deerfield, Illinois",2014
WMT,Consumer Staples,"Bentonville, Arkansas",1962
WBD,Communication Services,"New York City, New York",2022
WM,Industrials,"Houston, Texas",1968
WAT,Health Care,"Milford, Massachusetts",1958
WEC,Utilities,"Milwaukee, Wisconsin",1896
WFC,Financials,"San Francisco, California",1852
WELL,Real Estate,"Toledo, Ohio",1970
WST,Health Care,"Exton, Pennsylvania",1923
WDC,Information Technology,"San Jose, California",1970
WRK,Materials,"Atlanta, Georgia",2015
WY,Real Estate,"Seattle, Washington",1900
WHR,Consumer Discretionary,"Benton Harbor, Michigan",1911
WMB,Energy,"Tulsa, Oklahoma",1908
GWW,Industrials,"Lake Forest, Illinois",1927
WYNN,Consumer Discretionary,"Paradise, Nevada",2002
XEL,Utilities,"Minneapolis, Minnesota",1909
XYL,Industrials,"White Plains, New York",2011
YUM,Consumer Discretionary,"Louisville, Kentucky",1997
ZBRA,Information Technology,"Lincolnshire, Illinois",1969
ZBH,Health Care,"Warsaw, Indiana",1927
ZION,Financials,"Salt Lake City, Utah",1873
ZION,Financials,"Salt Lake City, Utah",1873
ZION,Financials,"Salt Lake City, Utah",1873
ZTS,Health Care,"Parsippany, New Jersey",1952
